No,Lat,Long
442,-84.436,38.0558
443,-84.436,38.0586
444,-84.436,38.0613
445,-84.436,38.064
446,-84.436,38.0667
447,-84.436,38.0694
448,-84.436,38.0722
449,-84.436,38.0749
450,-84.436,38.0776
451,-84.4388,37.9688
452,-84.4388,37.9715
453,-84.4388,37.9742
454,-84.4388,37.977
455,-84.4388,37.9797
456,-84.4388,37.9824
457,-84.4388,37.9851
458,-84.4388,37.9878
459,-84.4388,37.9906
460,-84.4388,37.9933
461,-84.4388,37.996
462,-84.4388,37.9987
463,-84.4388,38.0014
464,-84.4388,38.0042
465,-84.4388,38.0069
466,-84.4388,38.0096
467,-84.4388,38.0123
468,-84.4388,38.015
469,-84.4388,38.0178
470,-84.4388,38.0205
471,-84.4388,38.0232
472,-84.4388,38.0259
473,-84.4388,38.0286
474,-84.4388,38.0314
475,-84.4388,38.0341
476,-84.4388,38.0368
477,-84.4388,38.0395
478,-84.4388,38.0422
479,-84.4388,38.045
480,-84.4388,38.0477
481,-84.4388,38.0504
482,-84.4388,38.0531
483,-84.4388,38.0558
484,-84.4388,38.0586
485,-84.4388,38.0613
486,-84.4388,38.064
487,-84.4388,38.0667
488,-84.4388,38.0694
489,-84.4388,38.0722
490,-84.4388,38.0749
491,-84.4388,38.0776
492,-84.4415,37.9688
493,-84.4415,37.9715
494,-84.4415,37.9742
495,-84.4415,37.977
496,-84.4415,37.9797
497,-84.4415,37.9824
498,-84.4415,37.9851
499,-84.4415,37.9878
500,-84.4415,37.9906
501,-84.4415,37.9933
502,-84.4415,37.996
503,-84.4415,37.9987
504,-84.4415,38.0014
505,-84.4415,38.0042
506,-84.4415,38.0069
507,-84.4415,38.0096
508,-84.4415,38.0123
509,-84.4415,38.015
510,-84.4415,38.0178
511,-84.4415,38.0205
512,-84.4415,38.0232
513,-84.4415,38.0259
514,-84.4415,38.0286
515,-84.4415,38.0314
516,-84.4415,38.0341
517,-84.4415,38.0368
518,-84.4415,38.0395
519,-84.4415,38.0422
520,-84.4415,38.045
521,-84.4415,38.0477
522,-84.4415,38.0504
523,-84.4415,38.0531
524,-84.4415,38.0558
525,-84.4415,38.0586
526,-84.4415,38.0613
527,-84.4415,38.064
528,-84.4415,38.0667
529,-84.4415,38.0694
530,-84.4415,38.0722
531,-84.4415,38.0749
532,-84.4415,38.0776
533,-84.4442,37.9688
534,-84.4442,37.9715
535,-84.4442,37.9742
536,-84.4442,37.977
537,-84.4442,37.9797
538,-84.4442,37.9824
539,-84.4442,37.9851
540,-84.4442,37.9878
541,-84.4442,37.9906
542,-84.4442,37.9933
543,-84.4442,37.996
544,-84.4442,37.9987
545,-84.4442,38.0014
546,-84.4442,38.0042
547,-84.4442,38.0069
548,-84.4442,38.0096
549,-84.4442,38.0123
550,-84.4442,38.015
551,-84.4442,38.0178
552,-84.4442,38.0205
553,-84.4442,38.0232
554,-84.4442,38.0259
555,-84.4442,38.0286
556,-84.4442,38.0314
557,-84.4442,38.0341
558,-84.4442,38.0368
559,-84.4442,38.0395
560,-84.4442,38.0422
561,-84.4442,38.045
562,-84.4442,38.0477
563,-84.4442,38.0504
564,-84.4442,38.0531
565,-84.4442,38.0558
566,-84.4442,38.0586
567,-84.4442,38.0613
568,-84.4442,38.064
569,-84.4442,38.0667
570,-84.4442,38.0694
571,-84.4442,38.0722
572,-84.4442,38.0749
573,-84.4442,38.0776
574,-84.447,37.9688
575,-84.447,37.9715
576,-84.447,37.9742
577,-84.447,37.977
578,-84.447,37.9797
579,-84.447,37.9824
580,-84.447,37.9851
581,-84.447,37.9878
582,-84.447,37.9906
583,-84.447,37.9933
584,-84.447,37.996
585,-84.447,37.9987
586,-84.447,38.0014
587,-84.447,38.0042
588,-84.447,38.0069
589,-84.447,38.0096
590,-84.447,38.0123
591,-84.447,38.015
592,-84.447,38.0178
593,-84.447,38.0205
594,-84.447,38.0232
595,-84.447,38.0259
596,-84.447,38.0286
597,-84.447,38.0314
598,-84.447,38.0341
599,-84.447,38.0368
600,-84.447,38.0395
601,-84.447,38.0422
602,-84.447,38.045
603,-84.447,38.0477
604,-84.447,38.0504
605,-84.447,38.0531
606,-84.447,38.0558
607,-84.447,38.0586
608,-84.447,38.0613
609,-84.447,38.064
610,-84.447,38.0667
611,-84.447,38.0694
612,-84.447,38.0722
613,-84.447,38.0749
614,-84.447,38.0776
615,-84.4497,37.9688
616,-84.4497,37.9715
617,-84.4497,37.9742
618,-84.4497,37.977
619,-84.4497,37.9797
620,-84.4497,37.9824
621,-84.4497,37.9851
622,-84.4497,37.9878
623,-84.4497,37.9906
624,-84.4497,37.9933
625,-84.4497,37.996
626,-84.4497,37.9987
627,-84.4497,38.0014
628,-84.4497,38.0042
629,-84.4497,38.0069
630,-84.4497,38.0096
631,-84.4497,38.0123
632,-84.4497,38.015
633,-84.4497,38.0178
634,-84.4497,38.0205
635,-84.4497,38.0232
636,-84.4497,38.0259
637,-84.4497,38.0286
638,-84.4497,38.0314
639,-84.4497,38.0341
640,-84.4497,38.0368
641,-84.4497,38.0395
642,-84.4497,38.0422
643,-84.4497,38.045
644,-84.4497,38.0477
645,-84.4497,38.0504
646,-84.4497,38.0531
647,-84.4497,38.0558
648,-84.4497,38.0586
649,-84.4497,38.0613
650,-84.4497,38.064
651,-84.4497,38.0667
652,-84.4497,38.0694
653,-84.4497,38.0722
654,-84.4497,38.0749
655,-84.4497,38.0776
656,-84.4525,37.9688
657,-84.4525,37.9715
658,-84.4525,37.9742
659,-84.4525,37.977
660,-84.4525,37.9797
661,-84.4525,37.9824
662,-84.4525,37.9851
663,-84.4525,37.9878
664,-84.4525,37.9906
665,-84.4525,37.9933
666,-84.4525,37.996
667,-84.4525,37.9987
668,-84.4525,38.0014
669,-84.4525,38.0042
670,-84.4525,38.0069
671,-84.4525,38.0096
672,-84.4525,38.0123
673,-84.4525,38.015
674,-84.4525,38.0178
675,-84.4525,38.0205
676,-84.4525,38.0232
677,-84.4525,38.0259
678,-84.4525,38.0286
679,-84.4525,38.0314
680,-84.4525,38.0341
681,-84.4525,38.0368
682,-84.4525,38.0395
683,-84.4525,38.0422
684,-84.4525,38.045
685,-84.4525,38.0477
686,-84.4525,38.0504
687,-84.4525,38.0531
688,-84.4525,38.0558
689,-84.4525,38.0586
690,-84.4525,38.0613
691,-84.4525,38.064
692,-84.4525,38.0667
693,-84.4525,38.0694
694,-84.4525,38.0722
695,-84.4525,38.0749
696,-84.4525,38.0776
697,-84.4552,37.9688
698,-84.4552,37.9715
699,-84.4552,37.9742
700,-84.4552,37.977
701,-84.4552,37.9797
702,-84.4552,37.9824
703,-84.4552,37.9851
704,-84.4552,37.9878
705,-84.4552,37.9906
706,-84.4552,37.9933
707,-84.4552,37.996
708,-84.4552,37.9987
709,-84.4552,38.0014
710,-84.4552,38.0042
711,-84.4552,38.0069
712,-84.4552,38.0096
713,-84.4552,38.0123
714,-84.4552,38.015
715,-84.4552,38.0178
716,-84.4552,38.0205
717,-84.4552,38.0232
718,-84.4552,38.0259
719,-84.4552,38.0286
720,-84.4552,38.0314
721,-84.4552,38.0341
722,-84.4552,38.0368
723,-84.4552,38.0395
724,-84.4552,38.0422
725,-84.4552,38.045
726,-84.4552,38.0477
727,-84.4552,38.0504
728,-84.4552,38.0531
729,-84.4552,38.0558
730,-84.4552,38.0586
731,-84.4552,38.0613
732,-84.4552,38.064
733,-84.4552,38.0667
734,-84.4552,38.0694
735,-84.4552,38.0722
736,-84.4552,38.0749
737,-84.4552,38.0776
738,-84.4579,37.9688
739,-84.4579,37.9715
740,-84.4579,37.9742
741,-84.4579,37.977
742,-84.4579,37.9797
743,-84.4579,37.9824
744,-84.4579,37.9851
745,-84.4579,37.9878
746,-84.4579,37.9906
747,-84.4579,37.9933
748,-84.4579,37.996
749,-84.4579,37.9987
750,-84.4579,38.0014
751,-84.4579,38.0042
752,-84.4579,38.0069
753,-84.4579,38.0096
754,-84.4579,38.0123
755,-84.4579,38.015
756,-84.4579,38.0178
757,-84.4579,38.0205
758,-84.4579,38.0232
759,-84.4579,38.0259
760,-84.4579,38.0286
761,-84.4579,38.0314
762,-84.4579,38.0341
763,-84.4579,38.0368
764,-84.4579,38.0395
765,-84.4579,38.0422
766,-84.4579,38.045
767,-84.4579,38.0477
768,-84.4579,38.0504
769,-84.4579,38.0531
770,-84.4579,38.0558
771,-84.4579,38.0586
772,-84.4579,38.0613
773,-84.4579,38.064
774,-84.4579,38.0667
775,-84.4579,38.0694
776,-84.4579,38.0722
777,-84.4579,38.0749
778,-84.4579,38.0776
779,-84.4607,37.9688
780,-84.4607,37.9715
781,-84.4607,37.9742
782,-84.4607,37.977
783,-84.4607,37.9797
784,-84.4607,37.9824
785,-84.4607,37.9851
786,-84.4607,37.9878
787,-84.4607,37.9906
788,-84.4607,37.9933
789,-84.4607,37.996
790,-84.4607,37.9987
791,-84.4607,38.0014
792,-84.4607,38.0042
793,-84.4607,38.0069
794,-84.4607,38.0096
795,-84.4607,38.0123
796,-84.4607,38.015
797,-84.4607,38.0178
798,-84.4607,38.0205
799,-84.4607,38.0232
800,-84.4607,38.0259
801,-84.4607,38.0286
802,-84.4607,38.0314
803,-84.4607,38.0341
804,-84.4607,38.0368
805,-84.4607,38.0395
806,-84.4607,38.0422
807,-84.4607,38.045
808,-84.4607,38.0477
809,-84.4607,38.0504
810,-84.4607,38.0531
811,-84.4607,38.0558
812,-84.4607,38.0586
813,-84.4607,38.0613
814,-84.4607,38.064
815,-84.4607,38.0667
816,-84.4607,38.0694
817,-84.4607,38.0722
818,-84.4607,38.0749
819,-84.4607,38.0776
820,-84.4634,37.9688
821,-84.4634,37.9715
822,-84.4634,37.9742
823,-84.4634,37.977
824,-84.4634,37.9797
825,-84.4634,37.9824
826,-84.4634,37.9851
827,-84.4634,37.9878
828,-84.4634,37.9906
829,-84.4634,37.9933
830,-84.4634,37.996
831,-84.4634,37.9987
832,-84.4634,38.0014
833,-84.4634,38.0042
834,-84.4634,38.0069
835,-84.4634,38.0096
836,-84.4634,38.0123
837,-84.4634,38.015
838,-84.4634,38.0178
839,-84.4634,38.0205
840,-84.4634,38.0232
841,-84.4634,38.0259
