,No,Lat,Long,geometry,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Population,Pop per Ar,HH_Units,Bachelor's,Median Inc,All Degree,Public Tra
371,371,-84.4333,37.9742,POINT (-84.4333 37.9742),1.4359380990000001,36.34421765,0.036352863,0.036352863,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
372,372,-84.4333,37.977,POINT (-84.4333 37.977),52.80549996,141.9564129,1.3368481,1.3368481,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
410,410,-84.436,37.9688,POINT (-84.43600000000001 37.9688),0.0,33.80062692,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
411,411,-84.436,37.9715,POINT (-84.43600000000001 37.9715),0.0,33.79941672,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
412,412,-84.436,37.9742,POINT (-84.43600000000001 37.9742),7.929134577,47.8570748,0.200737584,0.200737584,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
413,413,-84.436,37.977,POINT (-84.43600000000001 37.977),81.80481716,178.84218140000002,2.071008029,2.071008029,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
451,451,-84.4388,37.9688,POINT (-84.4388 37.9688),0.0,33.80062692,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
452,452,-84.4388,37.9715,POINT (-84.4388 37.9715),0.0,33.79941672,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
453,453,-84.4388,37.9742,POINT (-84.4388 37.9742),6.54014956,45.39431458,0.165573407,0.165573407,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
454,454,-84.4388,37.977,POINT (-84.4388 37.977),93.53724150000001,199.2566996,2.36803143,2.36803143,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
492,492,-84.4415,37.9688,POINT (-84.4415 37.9688),0.0,33.80062692,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
493,493,-84.4415,37.9715,POINT (-84.4415 37.9715),0.0,33.79941672,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
494,494,-84.4415,37.9742,POINT (-84.4415 37.9742),31.07617542,88.89827472,0.786738618,0.786738618,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
495,495,-84.4415,37.977,POINT (-84.4415 37.977),109.08750459999999,225.59034309999998,2.761708977,2.761708977,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
533,533,-84.4442,37.9688,POINT (-84.4442 37.9688),0.0,35.87515704,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
534,534,-84.4442,37.9715,POINT (-84.4442 37.9715),22.09621513,81.78371496,0.5593978510000001,0.5593978510000001,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
535,535,-84.4442,37.9742,POINT (-84.4442 37.9742),89.71537035,196.9213258,2.271275199,2.271275199,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
574,574,-84.447,37.9688,POINT (-84.447 37.9688),0.412221244,296.9735843,0.0,0.0,1382,21,067,004007,2,2147483647,Block Group 2,G5030,S,59496458,468116,+37.9435777,-084.4230152,1036.0,1.74128e-05,435.0,303.0,65714,154.0,49.0
2,2,-84.4086,37.9742,POINT (-84.40860000000001 37.9742),1.7272735890000002,446.401424,33.05574113,0.115172333,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
3,3,-84.4086,37.977,POINT (-84.40860000000001 37.977),2.847719835,802.2720172999999,54.10667686,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
4,4,-84.4086,37.9797,POINT (-84.40860000000001 37.9797),2.463057736,1890.9900109999999,46.79809699,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
5,5,-84.4086,37.9824,POINT (-84.40860000000001 37.9824),4.074085224,4227.997652,21.93110157,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
6,6,-84.4086,37.9851,POINT (-84.40860000000001 37.9851),37.53894192,4922.922422,0.529500486,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
7,7,-84.4086,37.9878,POINT (-84.40860000000001 37.9878),42.68901497,3151.742703,4.461742187,1.203184101,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
44,44,-84.4113,37.977,POINT (-84.4113 37.977),1.916224045,1434.820084,36.40825685,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
45,45,-84.4113,37.9797,POINT (-84.4113 37.9797),1.933274287,3102.2402239999997,36.73221146,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
46,46,-84.4113,37.9824,POINT (-84.4113 37.9824),0.9506993690000001,3335.132699,18.06328801,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
85,85,-84.4141,37.977,POINT (-84.4141 37.977),0.993435489,1453.260807,18.87527428,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
86,86,-84.4141,37.9797,POINT (-84.4141 37.9797),1.604926914,2522.85178,30.49361137,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
87,87,-84.4141,37.9824,POINT (-84.4141 37.9824),1.033646928,2643.05547,19.63929164,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
127,127,-84.4168,37.9797,POINT (-84.41679999999999 37.9797),1.512308021,1308.609124,28.73385241,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
128,128,-84.4168,37.9824,POINT (-84.41679999999999 37.9824),1.348123791,2094.964747,25.61435202,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
169,169,-84.4196,37.9824,POINT (-84.4196 37.9824),1.025810284,1980.983959,19.4903954,0.0,396,21,067,003913,3,2147483647,Block Group 3,G5030,S,5086761,0,+37.9797284,-084.4006273,4005.0,0.000787338,1302.0,1558.0,93818,551.0,0.0
