No,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED
137,10.76265138,2941.565362,58.90339225,15.87473992
138,7.723348103,3066.938969,5.208904606,184.2151133
139,4.303476146,2765.928973,417.1681182,856.3900796
140,6.456367992,1798.854934,3584.399608,2306.238576
141,137.445358,385.1367463,9558.290495,3696.392679
142,457.7372087,6.891834579,8702.218933,8562.263358
143,718.6455647,0,1674.923737,8756.713731
144,634.1703927,0,1054.218894,5679.364483
145,415.597666,0,558.8262402,2873.963521
146,117.1122324,0,157.4729452,809.8608611
147,0,0,0,0
148,0,0,0,0
149,0,36.70550221,0,0
150,2.583407222,106.7935013,8.536476038,2.021796956
151,0,167.4777532,0,0
152,0,197.4840315,0,0
153,0,203.8157713,0,0
154,0,123.0273984,0,0
155,0,46.49406436,0,0
156,0,22.10746937,0,0
157,0,33.10658835,0,0
158,0,34.40460208,0,0
159,0,33.66963555,0,0
160,0,22.44899219,0,0
161,0.493720769,9.120685795,0,0
162,9.788715753,52.845564,0,0.003980552
163,9.588133994,66.14204111,0,0
164,2.048781948,18.60261399,24.90653078,12.07589371
165,0.002955974,17.95310454,17.16187881,8.320910939
166,0,18.73929911,4.908932817,2.380088639
167,0.185350228,64.63379959,3.521654323,0
168,1.002721178,950.9434198,19.05170239,0
169,1.025810284,1980.983959,19.4903954,0
170,0.22563774,2184.831254,4.955462811,0
171,0,1192.283237,17.6594568,0
172,0.488923445,1566.133176,33.57957312,0.139692413
173,0.930193971,2121.122348,27.25484041,0.265769706
174,0,3159.294962,31.71481367,0.110918272
175,0,3701.381987,169.3176867,7.864722335
176,0,3550.145379,325.8853587,15.78218782
177,0.950098867,3742.010736,300.5018005,15.43053674
178,2.755812764,3682.390773,521.653035,160.3912936
179,67.06307069,3504.954365,3250.71921,486.2277976
180,187.9006644,2861.326946,2756.985954,1604.151073
181,414.5929815,1490.570936,3830.441664,2080.317258
182,405.6856375,149.8471845,6724.927382,5457.545522
183,226.1011716,0,6413.675947,9146.413452
184,539.4882981,0,3324.646909,12422.99676
185,733.9432381,34.60568905,1716.804522,8473.256186
186,792.3934399,36.04406861,821.4233412,4035.265206
187,655.98832,15.76362806,385.7192888,1794.92384
188,461.7960363,0,314.920809,1503.201642
189,343.6325092,0,447.2421398,2294.46691
190,297.439145,5.489741121,799.2921002,1864.426873
191,151.3700586,42.56887282,2383.865711,763.7198605
192,104.546408,83.90496414,2331.275093,231.3783972
193,66.5538595,116.3325345,516.0355126,74.38743423
194,0,110.5497088,0,0
195,0,66.34590368,0,0
196,0,19.83325145,0,0
197,0,30.01297941,0,0
198,0,41.45795448,0,0
199,0,41.45647136,0,0
200,0,41.12387276,0,0
201,0,32.72580723,0,0
202,1.218650061,38.93043241,0,0.382545294
203,7.93161294,131.8155139,0,2.570841055
204,8.57126931,151.4769064,0,2.911370894
205,3.838353159,30.59484801,11.50805787,5.579664421
206,0.24795559,28.66482317,9.431851831,4.57301907
207,0,24.23692831,3.092049416,1.499175474
208,0.006289078,22.41458141,0.000159217,0.000159217
209,4.622821219,337.8606989,7.152302333,0.107646832
210,0.353551656,1443.275075,6.712843055,6.19E-06
211,0.115286967,1455.416112,2.190452378,0
212,0,948.0366339,10.60278742,0
213,0,833.8733381,19.14628239,0
214,0,1003.32103,13.06367585,0
215,0,1719.842355,9.355883008,0
216,0,2384.775255,72.45766263,2.755844963
217,3.527493353,3347.871159,240.3581909,39.51509897
218,8.96933925,4916.115203,340.1195534,88.84662709
219,10.86626145,4389.925629,2508.066496,210.1096921
220,199.5225892,4166.717229,4020.845779,417.1823723
221,551.0474822,3349.992913,3387.691458,824.4524253
222,1421.492849,2033.144438,1792.856953,1245.435526
223,1539.414171,248.2545516,3585.037159,1239.412513
224,666.3600523,68.86824554,4512.72981,6710.251971
225,236.7294834,1248.789915,3952.334753,8373.340987
226,478.2048178,1852.49273,2425.114172,6789.955496
227,745.5759106,1472.9127,984.7305399,3696.528104
228,740.1289735,500.6241169,411.6904883,1561.21767
229,719.6504249,316.7078848,427.6817027,2003.220184
230,725.8872231,109.4810838,733.7932307,3704.847681
231,590.9577488,4.014916783,1949.264,3603.00446
232,566.8110331,12.10040095,4037.056825,1947.868223
233,417.2677226,158.8104969,3958.296695,520.2850349
234,189.39471,224.2620698,1413.205027,207.5224596
235,17.22124953,45.24917637,56.90499844,13.47749963
236,0,7.548619226,0,0
237,0,13.78548591,0,0
238,0,33.3964203,0,0
239,0,41.45795448,0,0
240,0,41.45647136,0,0
241,0,41.45498833,0,0
242,0,41.16502001,0,0
243,0.039278576,100.2849456,0,2.185506379
244,3.184227145,254.2875552,0,7.149098787
245,3.13294138,254.0076293,0,7.131720629
246,2.987434137,40.94282852,1.080780579,0.524014826
247,0,37.23922209,1.861320263,0.902458309
248,0,30.75088551,0.162932609,0.078997629
249,12.32835675,50.16294346,0.312110297,0.312110297
250,46.6400498,130.8991356,1.484126939,1.180355996
251,61.55970436,443.0810092,2.904237346,1.556677979
252,26.55133626,732.3313888,0.672185728,0.672185728
253,0,656.7735923,1.781841992,0
254,0,427.91438,4.372253832,0
255,0,370.5227912,0.819859678,0
256,0,768.6998908,0,0
257,0.010154647,1040.36954,0.762130649,0.093930483
