No,EDHLTH_RAC_SCALED,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,EMP_WAC_SCALED,LEISER_RAC_SCALED,LEISER_WAC_SCALED,OTHER_RAC_SCALED,OTHER_WAC_SCALED,RETAIL_RAC_SCALED,RETAIL_WAC_SCALED
2033,1179.455968,38.41696698,3486.023027,945.3858521,453.8375027,195.9897469,1451.34526,710.9729842,401.3842956,0.006154011
2034,1151.675669,38.80796134,3287.626081,560.5539023,376.2188339,84.95856061,1386.874136,436.0616916,372.8574425,0.725688723
2035,1203.755337,32.22084941,3275.395573,66.74314468,371.9777511,0,1343.151037,34.52229527,356.5114483,0
2036,760.4902165,1225.250191,2103.505724,1358.200252,228.0084932,0,894.6601111,132.9500612,220.3469028,0
2037,310.4570912,3724.337544,1037.326755,4190.419122,111.4097088,20.03374736,490.3341326,418.5843821,125.1258219,27.46344885
2038,524.392923,3674.665045,2337.155615,4666.335814,333.1929182,315.497727,1178.51334,530.8210686,301.0564334,145.3519743
2039,868.2902279,1521.236032,3700.133681,2442.548666,574.2911108,324.1864818,1766.020508,432.5142883,491.5318351,164.6118637
2040,1017.754824,534.2574911,4037.601142,816.2080436,633.8274761,59.93603031,1809.376642,174.7484158,576.6422007,47.26610638
2041,741.7132375,0,2751.301578,1267.999301,415.897385,0,1206.587675,1253.572632,387.1032809,14.4266695
2042,331.8082071,0,1250.056497,3838.515195,183.621786,0,585.6354292,3808.719917,148.9910744,29.79527754
2043,146.5639031,107.2778692,553.9426072,3915.128066,70.28329437,28.00216009,291.1040439,3747.472492,45.99136578,32.37554414
2044,1077.984159,79.57181827,3796.044216,2117.580259,446.5934371,118.7738391,1994.270693,1884.651102,277.1959265,34.58349958
2045,1254.329674,11.73727646,4391.55452,2229.171683,516.544458,121.8500093,2294.996765,2045.975632,325.6836233,49.60876509
2046,433.1834473,37.98241939,1442.977016,3461.715021,169.4092239,31.72371144,718.8275922,3328.288511,121.5567521,63.72037925
2047,194.313045,63.65427337,546.086661,4948.282198,63.65427337,0,221.1148443,4800.872302,67.00449828,83.75562285
2048,193.4361504,63.36701477,543.6222846,5651.414457,63.36701477,0,220.1169987,5504.669791,66.70212081,83.37765102
2049,109.8188772,42.74700298,309.8112453,6992.748211,36.1571136,0,125.8256322,6902.830036,38.00962234,47.17117158
2050,1577.700691,6.311831006,4750.255251,40.30431463,375.8683508,0,2160.770687,33.99248362,635.9155228,0
2051,2267.802765,1.507032863,6742.577556,44.70558153,570.208642,9.801626481,3050.201071,33.39692219,854.3650778,0
2052,2407.59142,25.48750597,7049.134915,516.1542916,648.4834281,99.52949208,3144.292112,217.4282849,848.7679547,173.7090086
2053,2224.570675,243.5735455,6399.797918,3846.593778,650.7050286,741.6039701,2745.270846,1078.005213,779.2513683,1783.41105
2054,1813.988257,281.764029,5350.779249,4683.177469,622.2090551,857.9392128,2312.067118,1416.638062,602.5148191,2126.836165
2055,1573.000186,121.6317329,5107.45558,2236.857067,636.6234404,373.6704662,2282.684014,814.9736304,615.1479407,926.5812372
2056,1533.276786,4.986303673,5138.069772,82.3220472,638.2261472,0,2265.58522,77.33574353,700.9816185,0
2057,1424.484332,18.80750661,4580.770901,27.72911792,539.1490299,0,1979.260111,8.92161131,637.877428,0
2058,1200.945646,27.96848765,3623.431053,11225.95852,412.9285924,9.570088508,1526.404492,11187.14393,483.1523225,1.276011801
2059,1569.22939,107.3386957,4643.799259,42699.85443,555.2280101,440.1729072,1854.671372,42061.37647,664.6704867,90.96635332
2060,1706.180111,156.9981801,5086.421054,43077.98457,562.5870374,807.1884472,2088.829364,41932.78614,728.8245408,181.0118049
2061,1035.21431,236.4689332,3086.189024,3280.344719,311.436216,709.4534857,1324.988656,1986.035798,414.5498417,348.386502
2062,558.9418623,748.6605082,1568.323194,6233.249103,173.8094015,205.958442,676.2258911,4831.470729,159.3460387,447.1594233
2063,680.3476625,1043.552449,1740.984081,7856.527501,178.2265355,148.244315,728.795479,6337.104683,153.6144044,327.6260543
2064,1117.245645,748.5513675,3105.546536,5300.91724,369.8211903,63.71971773,1215.283192,4392.735561,403.196509,95.91059313
2065,1324.853459,19.75493339,3770.829288,235.13187,459.2507808,1.68259685,1480.102165,150.6837224,506.6228826,63.01061738
2066,1226.052036,2.678823222,3296.894003,243.1487738,363.577176,67.26822756,1255.482182,127.7157687,451.7826098,45.48595434
2067,1097.244413,85.65755281,2836.733424,3075.794034,254.0318262,2150.956326,1127.358525,839.1787487,358.0986607,0.001406513
2068,762.3785542,1694.171225,2295.769121,7149.237798,195.5246449,2432.353865,1029.585378,3021.78945,308.2805435,0.923257926
2069,673.6442008,3184.2499,2307.644817,9056.242994,215.8781007,1353.863143,1107.928497,4518.12995,310.1940186,0
2070,1068.37876,2372.070981,3923.032575,5635.500117,423.4634908,3.863353267,1869.189034,3150.294757,562.0012907,109.2710257
2071,1312.325263,389.9252246,4728.446002,1448.151912,543.2611872,142.2549801,2196.525124,593.098353,676.3344274,322.8733543
2072,1170.02545,231.3157761,3772.933034,1957.215337,401.3296676,640.3334766,1713.115035,853.8155091,488.462881,231.7505752
2073,1222.388151,123.7266744,3488.863816,1049.79177,367.8356163,463.2941024,1548.119078,451.1326014,350.5209712,11.63839178
2074,1098.571505,26.72698155,3217.361284,330.4879008,321.4524997,209.0042377,1461.295813,88.43504475,336.0414663,6.321636805
2075,1124.628048,93.27474742,3356.627999,504.4253107,368.2551298,155.1328278,1520.072358,197.6441396,343.6724638,58.37359588
2076,1183.060314,95.7247838,3418.322566,364.6074328,380.2028717,43.92320052,1451.961394,163.4669678,403.0979866,61.49248073
2077,891.3949957,10.18860093,2543.942167,157.2839224,297.8610619,5.398228526,1030.336497,134.139573,324.3496123,7.557519936
2078,637.1603362,1016.919194,2021.595742,1375.193866,220.9484151,44.4553185,917.6627955,255.138333,245.8241953,58.68102042
2079,829.2340301,1484.359433,3438.11024,2371.834589,485.5812257,172.2822487,1730.157946,489.1307827,393.1370381,226.0621248
2080,1088.493019,1252.657773,4781.484765,2154.564161,738.0631001,220.8188256,2380.251985,379.0662209,574.6766604,302.0213414
2081,1074.563894,375.7614174,4420.281159,790.9455694,765.2968783,75.15228348,2040.408978,192.5818762,540.0114084,147.4499923
2082,870.1612551,0,3278.259579,434.1380016,551.7631898,0,1470.278378,419.0667107,386.0567556,15.0712909
2083,429.3476313,143.4420024,1680.962236,2793.892749,289.7752749,19.78510377,806.1975816,2616.080624,155.6417479,14.58501962
2084,332.8803804,304.2665275,1260.026268,5943.510675,161.3225688,71.56753758,660.9327685,5472.15566,104.8905506,95.52095016
2085,1506.769654,223.9811733,5305.981711,4653.825962,624.2331425,181.5709204,2787.52386,4148.393661,387.4550539,99.88020741
2086,1507.327691,0.894353794,5307.549986,1838.001865,624.4159475,150.7751101,2788.158867,1639.92461,387.6474803,46.40779117
2087,592.9379221,19.40029696,2045.876767,2712.105906,240.5111959,53.37159629,1054.765037,2580.680152,157.6626128,58.65386069
2088,144.542516,47.35013457,406.2143123,4088.72568,47.35013457,0,164.4794148,3967.329673,49.84224691,74.04587232
2089,206.027173,67.49166013,579.0074,5307.374809,67.49166013,0,234.4447141,5151.078333,71.04385276,88.80481596
2090,244.3038143,804.6219286,828.6584756,7118.200986,104.4381381,0,380.898165,6233.590209,99.01835819,79.98884838
2091,1696.832909,13.98552538,5140.071459,45.56570867,394.0595925,0,2367.266473,31.58018329,681.9124851,0
2092,2584.487584,20.12519693,7811.165898,64.77446038,656.4434372,0,3619.425938,44.64926346,950.808939,0
2093,2679.251151,31.08683621,7937.534764,536.3700228,692.6061925,75.43488538,3644.449807,243.6864702,921.2276134,186.161831
2094,2119.568265,239.5608622,6052.984849,3862.866901,567.529491,736.6496513,2647.122411,1060.004813,718.7646821,1826.651574
2095,1656.192013,340.5741907,4758.987981,5616.254049,580.4978313,1142.301827,1995.640498,1570.773952,526.6576386,2562.604079
2096,1478.848884,172.429588,4734.700699,2985.081663,608.6428615,648.3929826,2112.646589,906.1551308,534.5623647,1258.103961
2097,1324.368565,10.48887576,4658.315573,146.4445953,588.3542399,0,2145.514586,135.9557195,600.0781822,0
2098,1218.230781,25.72937726,4181.286208,58.23702088,476.3734289,0,1931.952052,32.50764363,554.7299456,0
2099,1553.529732,49.52473316,4535.669812,13773.16362,483.7200695,0,1945.163675,13723.63889,553.256335,0
2100,1494.828514,116.6388341,4283.475189,42326.56895,516.3429843,195.6394366,1706.87313,41920.40739,565.4305611,93.88329453
2101,1304.616583,145.711166,3836.341121,43401.55041,466.5550648,575.5032637,1551.253349,42449.32089,513.9161245,231.0150819
2102,728.0131378,221.8964999,2083.693578,3665.20076,253.5547513,460.4285081,871.0943387,2279.571919,231.0313504,703.303833
2103,656.9034322,575.1315068,1697.333135,5561.417148,204.7918101,240.6533392,702.1768375,3928.9877,133.4610551,816.644602
2104,691.0095344,1118.494507,1787.624903,8756.774597,174.1144654,216.7220223,758.8284706,6816.59627,163.6724324,604.9617988
2105,911.8117698,812.6681307,2381.244721,5721.216495,239.5388891,69.21779031,965.9208873,4768.908873,263.973175,70.42170085
2106,884.8613516,828.8833989,2467.993378,5858.682286,291.4513444,70.59890149,975.4113834,4863.559423,316.2692982,95.64056223
2107,871.5969375,686.8018202,2242.105397,4936.841842,239.1597405,58.49731591,839.6927116,4121.008649,291.6560077,70.53405617
2108,742.9182067,702.8884237,1794.629642,5797.746388,163.3778997,1637.159837,661.766467,3431.504242,226.5670682,26.19388434
2109,615.505093,2691.54885,1827.177113,12047.21249,163.969733,2391.768807,792.3809348,6927.048146,255.3213526,36.84668634
2110,676.0391433,3919.513838,2433.292093,12546.79248,248.8638833,1124.070022,1163.388941,7474.653562,345.0001263,28.55506155
2111,874.7894466,2244.814981,3343.717566,5023.53717,391.3010924,0,1612.882993,2778.722189,464.7440342,0
2112,958.3587667,37.84120229,3546.268408,136.165585,452.6360441,0,1664.95297,98.32438274,470.3206276,0
2113,896.3010402,132.8252104,3106.376901,162.3642134,372.1452623,0,1439.888225,25.25320878,398.0423736,4.285794166
2114,925.1357034,258.3093856,3018.456326,476.8357407,328.8344992,72.33356371,1441.537588,59.01304382,322.9485349,87.17974761
2115,859.7305038,166.3189173,2838.572198,720.4652961,310.4164667,131.2158396,1400.844841,214.3292213,267.5803864,208.6013179
2116,943.3556688,219.5900395,3246.330508,1193.286134,389.6842937,158.1931083,1588.471444,399.0851864,324.8191015,416.4177998
2117,1116.333282,295.6875066,3600.261949,1401.771396,448.0948111,141.9786664,1625.229907,532.9982383,410.6039487,431.1069844
2118,1235.751516,131.4004583,3773.723562,658.6877132,459.2105175,74.65577227,1676.655881,330.8906984,402.1056471,121.7407843
2119,1137.361185,237.9640217,3770.060465,709.6056167,531.8366688,84.95194816,1723.844429,281.4398065,377.0181825,105.2498404
2120,1130.474355,760.8359113,4638.231223,2437.094623,682.1581082,629.0549416,2370.130712,635.8583089,455.4680481,411.3454615
2121,1332.308103,1088.919592,6332.57503,2220.753337,994.8959501,246.5249774,3317.088962,483.9611097,688.2820145,401.3476571
2122,1177.037494,612.265672,5236.437696,1201.611887,874.8118683,122.4531344,2578.813508,208.3907714,605.7748255,258.5023092
2123,889.5439933,83.04532743,3675.82358,238.5408215,626.8931287,16.60906549,1721.78668,38.24900708,437.5997779,100.6374215
2124,434.1381065,151.9476983,1701.699525,2379.708802,248.6979757,20.95830321,815.5250006,2177.436059,203.3384422,29.36674085
2125,69.96557688,301.6144396,342.3780643,6192.068301,47.49802945,42.03917108,179.9619796,5763.914476,44.95247844,84.50021483
2126,657.0626415,288.9334499,2313.799159,6441.42517,272.2116658,105.5591538,1215.565887,5941.164707,168.958965,105.7678595
2127,760.0713381,0,2676.536926,3197.729136,314.8866972,76.00713381,1406.131976,3048.990708,195.4469155,72.73129394
2128,93.12433085,3.682390553,319.9374,2628.792028,37.60549235,8.188334916,164.2756579,2544.868385,24.93191894,72.05291713
2129,85.11423718,27.88225011,239.2003562,3425.154391,27.88225011,0,96.85413197,3324.375479,29.34973696,72.89666209
2130,325.6189418,120.1682425,1068.838989,4145.625285,154.5650045,0.005537668,479.3542683,3953.280246,109.3007747,72.17125885
2131,604.8278974,1453.456515,2165.546097,7151.471729,303.8234272,0,1029.732466,5603.960566,227.1623062,94.05464744
2132,850.6464978,24.32634623,2644.760126,41.00421554,244.6888661,0,1209.510103,16.67786931,339.9146594,0
2133,2011.871351,39.35199215,6075.43588,132.9717659,527.5636696,0,2824.780178,93.61977376,711.2206822,0
2134,2391.115916,42.794638,7137.831766,455.0761525,615.860288,52.41559232,3289.924719,229.892299,840.9308432,129.9736232
2135,2005.834045,146.9599707,5973.295247,2512.93033,540.7465435,514.8738383,2748.154056,751.0698258,678.5606022,1100.026695
2136,1430.126411,247.0031526,4183.56485,4116.941467,472.4700016,1110.353685,1819.839182,1004.348618,461.1292547,1755.236011
2137,1344.075626,151.8371067,4160.257758,2612.808562,521.3407014,887.2905336,1851.42592,599.1989309,443.4155112,974.4819907
2138,1270.913398,25.77273141,4103.858942,386.305266,494.1288502,185.2302384,1855.067298,111.8015532,483.7493953,63.50074297
2139,1429.617616,12.76055883,4389.301311,71.50380917,461.8723756,0,2001.64244,58.74325034,496.1688794,0
2140,1551.547514,21.57677725,4438.729744,85.12421581,457.7923761,0,1902.594223,63.54743855,526.7956309,0
2141,1307.565476,36.68795878,3628.460901,17541.95107,420.9097298,0,1472.876448,17454.94633,427.1092476,50.31677831
2142,809.0488618,57.04091598,2357.45905,14365.05358,311.2322379,21.31181128,956.2780551,14129.92963,280.8998956,156.7712159
2143,579.7398343,106.3851807,1620.706334,1971.151712,231.9508554,112.0645903,672.4517384,1228.267295,136.5639057,524.4346455
2144,701.2491318,147.0200251,1825.586865,2276.380084,204.9735804,138.8522459,748.7477032,1375.196711,170.6164497,615.3111021
2145,803.6326368,267.7645952,2055.810102,2672.648707,165.6915868,127.1683572,868.2081509,1802.911066,218.2777271,474.8046889
2146,810.8670018,688.5000341,2055.726849,4834.696223,167.8961062,58.64195874,858.8927502,4041.369368,218.0709903,46.18486205
2147,748.4388505,1390.916921,1876.238319,9743.703076,182.6508021,118.4692646,752.1853575,8144.039763,192.9633092,90.27712683
